Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,perlidae,acroneuria,acroneuria lycorias
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,chydoridae,alona,alona affinis
animalia,mollusca,NA,NA,gastropoda,littorinimorpha,amnicolidae,amnicola,amnicola sp.
animalia,mollusca,NA,NA,bivalvia,unionoida,unionidae,utterbackia,utterbackia imbecilis
animalia,mollusca,NA,NA,gastropoda,architaenioglossa,viviparidae,campeloma,campeloma decisum
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,ceriodaphnia,ceriodaphnia reticulata
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,parastacidae,cherax,cherax destructor
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus decorus
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus riparius
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus tentans
animalia,mollusca,NA,NA,bivalvia,veneroida,corbiculidae,corbicula,corbicula malinensis
animalia,mollusca,NA,NA,bivalvia,veneroida,corbiculidae,corbicula,corbicula australis
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,crangonyctidae,crangonyx,crangonyx pseudogracilis
animalia,arthropoda,crustacea,NA,ostracoda,podocopida,cyprididae,cypris,cypris subglobosa
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia ambigua
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia magna
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia parvula
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia pulex
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia pulicaria
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia rosea
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,gammaridae,echinogammarus,echinogammarus berilloni
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,gammaridae,gammarus,gammarus pseudolimnaeus
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,gammaridae,gammarus,gammarus pulex
animalia,mollusca,NA,NA,gastropoda,neotaenioglossa,pleuroceridae,juga,juga livescens
animalia,mollusca,NA,NA,gastropoda,basommatophora,planorbidae,gyraulus,gyraulus circumstriatus
animalia,annelida,NA,NA,oligochaeta,haplotaxida,tubificidae,limnodrilus,limnodrilus hoffmeisteri
animalia,ectoprocta,NA,NA,phylactolaemata,plumatellida,lophopodidae,lophopodella,lophopodella carteri
animalia,annelida,NA,NA,clitellata,lumbriculida,lumbriculidae,lumbriculus,lumbriculus variegatus
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,palaemonidae,macrobrachium,macrobrachium sp.
animalia,arthropoda,crustacea,NA,branchiopoda,cladocera,moinidae,moina,moina dubia
animalia,annelida,NA,NA,oligochaeta,haplotaxida,naididae,nais,nais sp.
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,cambaridae,orconectes,orconectes rusticus
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,atyidae,paratya,paratya australensis
animalia,ectoprocta,NA,NA,phylactolaemata,plumatellida,pectinatellidae,pectinatella,pectinatella magnifica
animalia,rotifera,Missing Subphylum 3,Missing Superclass 5,bdelloidea,bdelloida,philodinidae,philodina,philodina acuticornis
animalia,mollusca,NA,NA,gastropoda,basommatophora,physidae,physa,physa heterostropha
animalia,mollusca,NA,NA,gastropoda,basommatophora,physidae,physa,physa integra
animalia,ectoprocta,NA,NA,phylactolaemata,plumatellida,plumatellidae,plumatella,plumatella emarginata
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,cambaridae,procambarus,procambarus clarkii
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,simocephalus,simocephalus serrulatus
animalia,arthropoda,crustacea,NA,maxillopoda,cyclopoida,cyclopidae,tropocyclops,tropocyclops prasinus mexicanus
animalia,annelida,NA,NA,oligochaeta,haplotaxida,tubificidae,tubifex,tubifex tubifex
animalia,mollusca,NA,NA,bivalvia,unionoida,unionidae,unio,unio angasi
animalia,arthropoda,crustacea,NA,malacostraca,isopoda,asellidae,asellus,asellus aquaticus
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,ceriodaphnia,ceriodaphnia dubia
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus javanus
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,culex,culex sp.
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia carinata
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,heptageniidae,ecdyonurus,ecdyonurus torrentis
animalia,annelida,NA,NA,clitellata,arhynchobdellida,erpobdellidae,erpobdella,erpobdella testacea
animalia,mollusca,NA,NA,gastropoda,neotaenioglossa,pleuroceridae,goniobasis (snail),goniobasis (snail) livescens
animalia,mollusca,NA,NA,gastropoda,basommatophora,lymnaeidae,lymnaea,lymnaea stagnalis
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,palaemonidae,macrobrachium,macrobrachium lanchesteri
animalia,mollusca,NA,NA,gastropoda,neotaenioglossa,thiaridae,melanoides,melanoides tuberculata
animalia,annelida,NA,NA,oligochaeta,haplotaxida,naididae,nais,nais elinguis
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,heptageniidae,rithrogena,rhithrogena semicolorata
animalia,arthropoda,hexapoda,NA,insecta,trichoptera,sericostomatidae,sericostoma,sericostoma personatum
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,siphlonuridae,siphlonurus,siphlonurus armatus
animalia,arthropoda,crustacea,NA,ostracoda,podocopida,cyprididae,stenocypris,stenocypris major
