Kingdom,Phylum_division,Subphylum,Superclass,Class,Order,Family,Genus,Latin
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,hyalellidae,hyalella,hyalella azteca
animalia,arthropoda,hexapoda,NA,insecta,diptera,chaoboridae,chaoborus,chaoborus obscuripes
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,leuctridae,leuctra,leuctra inermis
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,caenidae,caenis,caenis horaria
animalia,arthropoda,hexapoda,NA,insecta,heteroptera,notonectidae,notonecta,notonecta glauca
animalia,arthropoda,crustacea,NA,malacostraca,isopoda,asellidae,proasellus,proasellus coxalis
animalia,arthropoda,crustacea,NA,malacostraca,amphipoda,gammaridae,gammarus,gammarus pulex
animalia,arthropoda,hexapoda,NA,insecta,heteroptera,corixidae,sigara,sigara striata
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,baetis,baetis rhodani
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,heptageniidae,rhithrogena,rhithrogena semicolorata
animalia,arthropoda,hexapoda,NA,insecta,heteroptera,notonectidae,anisops,anisops sardeus
animalia,arthropoda,crustacea,NA,malacostraca,isopoda,asellidae,asellus,asellus aquaticus
animalia,arthropoda,crustacea,NA,branchiopoda,anostraca,streptocephalidae,streptocephalus,streptocephalus sudanicus
animalia,arthropoda,hexapoda,NA,insecta,megaloptera,sialidae,sialis,sialis lutaria
animalia,arthropoda,hexapoda,NA,insecta,heteroptera,corixidae,corixa,corixa sp
animalia,arthropoda,hexapoda,NA,insecta,ephemeroptera,baetidae,cloeon,cloeon dipterum
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,nemouridae,nemoura,nemoura sp.
animalia,arthropoda,hexapoda,NA,insecta,plecoptera,nemouridae,protonemura,protonemura sp.
animalia,arthropoda,hexapoda,NA,insecta,trichoptera,sericostomatidae,sericostoma,sericostoma personatum
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,macropelopia,macropelopia sp.
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia galeata
animalia,arthropoda,hexapoda,NA,insecta,odonata,coenagrionidae,ischnura,ischnura elegans
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,ceriodaphnia,ceriodaphnia dubia
animalia,arthropoda,crustacea,NA,maxillopoda,cyclopoida,cyclopidae,cyclops,cyclops sp
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,aedes,aedes aegypti
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,daphnia,daphnia magna
animalia,arthropoda,hexapoda,NA,insecta,odonata,coenagrionidae,erythromma,erythromma viridulum
animalia,arthropoda,crustacea,NA,branchiopoda,diplostraca,daphniidae,simocephalus,simocephalus vetulus
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus riparius
animalia,annelida,NA,NA,clitellata,arhynchobdellida,erpobdellidae,erpobdella,erpobdella octoculata
animalia,arthropoda,crustacea,NA,malacostraca,mysida,mysidae,mysidopsis,mysidopsis bahia
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,aedes,aedes albopictus
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,anopheles,anopheles sinensis
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,anopheles,anopheles stephensi
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,atyidae,caridina,caridina laevis
animalia,arthropoda,hexapoda,NA,insecta,diptera,chironomidae,chironomus,chironomus dilutus
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,culex,culex annulirostris
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,culex,culex pipiens
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,culex,culex quinquefasciatus
animalia,arthropoda,hexapoda,NA,insecta,diptera,culicidae,culex,culex tritaeniorhynchus
animalia,arthropoda,crustacea,NA,maxillopoda,calanoida,temoridae,eurytemora,eurytemora affinis
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,palaemonidae,macrobrachium,macrobrachium lar
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,palaemonidae,macrobrachium,macrobrachium nipponense
animalia,arthropoda,crustacea,NA,malacostraca,decapoda,cambaridae,procambarus,procambarus clarkii
animalia,arthropoda,crustacea,NA,maxillopoda,calanoida,pseudodiaptomidae,pseudodiaptomus,pseudodiaptomus forbesi
